序号	文件名	环ID	节点	路由耗时(ns)
4555	QmcTLEPoA2NT6j7ny7pi1MGNnjFxK6icB1qsPX49xDXzjC	ring1	node25	476
4556	QmSoLuCB7xeFD5vf8pYnzoBhRFfnnM41nPy4zBnSqmjH7J	ring3	node31	556
4557	QmXKXQnUXbtdiCTp9qrHpgTdPxQBnDiF2vN3kNnvz4z5AZ	ring2	node2	548
4558	QmVwJBDoUWiuQwRN38hBmhhwBqv2qkTBPTk7P7nTiunVGX	ring2	node30	602
4559	QmeKLzUApSGCaBd4RcudRm8PwKRHukk2CfnkK5ekqS2BuR	ring1	node13	566
4560	QmVtN9HD81dbe2ywt9Z87kdLHVsEEJZu98mNRhagWUZq3r	ring2	node6	534
4561	QmREGJBeksyFe2mmk9iRNa4CKjyFNoj4VHPA4694mfrXNL	ring0	node12	512
4562	QmWZCD62M75pDqP6jgyhLFY9xHdbScJrvsx6ZgL9Vsjxzn	ring2	node26	572
4563	QmT5ZnzWR2Y9bwtWypVQgFoYMSyi8CDt2Mh3eFeDu4cFc1	ring1	node9	593
4564	QmVHdxr59t7FAKCXE52tZSxue33BbNSdeyLJCeBRa25bjg	ring3	node11	588
4565	QmZFnUm3bjSyEPrvxEa3fR9eUxnkfQeLmPTzDhAmCWtbMZ	ring3	node3	617
4566	QmVJGWHPrvfCP8QaYeNj2DWCm3KLAxbkaMn2Ew5f9B2yTD	ring0	node24	540
4567	QmT1ApAkEAi9ebA4iiKCLwqyBKZrovRb3Dues2JVqPtXCm	ring1	node9	550
4568	QmNpg1XD1Z7Jdv9AjTFNZHRQARRep6NNzzse4AyV9wwdxL	ring1	node29	577
4569	QmdgFnzHcANfMHsvAkunave6nB1yZVBTF447uTBhzGkU9K	ring3	node11	593
4570	QmbnRpxt4aqDWCXkaVtQwZhrmrGBuXRyRCJBNtSy3P3qMf	ring2	node38	511
4571	QmZyfyUoZR9xpEwcNvuPK217bCiBooK2e5yj6b2bLGX58N	ring0	node16	602
4572	QmQ5KicmurXH7Q8vjXgj2c1CHsQGif8q3ZKZDJLp284ehb	ring3	node15	583
4573	QmR6fLLxAriUST7c6GpZhMNk12k3tGa7WTAPv2dfVkv1tN	ring2	node22	562
4574	QmXUWiYG7ZMs6JS1nm6DxeMt7mYSQWiu3fnnaJg9fkXRU3	ring3	node15	607
4575	QmdRnETqcaNQBQL94zycG3GsApyUSpUUhk9LkXTo8M9MFb	ring3	node31	521
4576	QmSLSCRgqJA1RPRTtSBHriXj32nWAkbZqRs33gUKrXE6BK	ring3	node7	552
4577	Qmf2TE89s2mBU3VcEDsQpfgyJuVRjfFy4aHJeFDQhTWHEb	ring0	node24	541
4578	QmW8F51aDY6gs6Rpj2EXzTrp4Kvk1Q9VVtJUdr9SYCBwfL	ring1	node13	561
4579	QmW8F51aDY6gs6Rpj2EXzTrp4Kvk1Q9VVtJUdr9SYCBwfL	ring1	node13	478
4580	QmZXyKSJ4xQzmJTubKdcfJWhAtSZzCFGFpAzm3WhBhSZ7i	ring3	node39	632
4581	QmPXrWG4NgC2LqWRQr3pyvc45xX2CHNASBJFda19bFUWEF	ring1	node37	641
4582	QmV1txx1ntCTSm2WRBHc2snLX7JgwUohpHa9zJDWuKu88n	ring2	node30	588
4583	QmVSuemTRnJa86zTUVCns9DzYDizuncQBgFeVAiXVpdKi8	ring2	node26	545
4584	QmbnRpxt4aqDWCXkaVtQwZhrmrGBuXRyRCJBNtSy3P3qMf	ring2	node38	513
4585	QmQv2VWtUsPh3sRp3MZtaG9ZWrGJ2Q84XemnPUr73UsRYn	ring1	node13	616
4586	QmcTLEPoA2NT6j7ny7pi1MGNnjFxK6icB1qsPX49xDXzjC	ring1	node25	512
4587	QmUPdy2A4ksMSrS55uvRPFeRbyMU523azRVsaGhmvjx89m	ring0	node24	508
4588	QmZB8awpNvtuSP6JgVNam5KNEFfrx3d2YFvHTvddggUEBx	ring2	node34	701
4589	QmSW29T48D1Co9U4JCaeH28PozHANW8Avggje6NtfULQun	ring3	node11	662
4590	QmSoFmEZMTN6s4kU7Fb7JW1qrJhC6s82JBCqHmXgDePuok	ring1	node13	546
4591	QmSknFJz1Z16xKGBJPF41DPsCzyzCYqBD8ZmVmnyaN1Vw4	ring3	node15	523
4592	QmPQ2ep7iqVBw5a3se6UbYGhh9m2Lxd7bKQLLEu5qP48xn	ring1	node1	558
4593	Qmejswp5Q8pidS8VnEttqnSh4w61KiYBwL3UBTh4BkgARs	ring1	node29	507
4594	QmTMqopFAH28tFMmQ52W7Um3GSeMqxWDoLx3vAiezb1jKC	ring0	node12	603
4595	QmWKmFAz7ZLGbuN1LBc5ubjx6Q71qhUpkNRrwt8qTmBqL6	ring2	node10	620
4596	QmddaQS5pWU6yS8Cr5LFB6we9UUVpNEm4cg4B359F1XY3A	ring0	node32	1391
4597	QmTTXhq4c7jEr7pkCxeQ1qmUiBQaY86vTqEaPwwHfzE416	ring2	node22	606
4598	QmTTXhq4c7jEr7pkCxeQ1qmUiBQaY86vTqEaPwwHfzE416	ring2	node22	610
4599	QmWwNoRiGKQbjBF3rfQACW4FXfm8sKv11LYfGx5HV2oUCz	ring3	node7	587
4600	QmNfs7qEnR6JHMLy4re26UKMuiF6vRZwTwRt1ybmVMJocr	ring3	node15	711
4601	QmScK92QdcZXeeDYiBB49PnkadddpNQM53eeTwU6xE2LB9	ring2	node10	592
4602	QmQ7WCn1XX9eAHS14G43Ew1HHtgSavVDCjYokF5WHWoRR2	ring3	node39	607
4603	QmZXyKSJ4xQzmJTubKdcfJWhAtSZzCFGFpAzm3WhBhSZ7i	ring3	node39	510
4604	QmfRP7rk7ieNQbCkG8MrRmYi5hjEEqfe79pUj5hn4ENDQj	ring1	node1	621
4605	QmaSChKwoMZ2Z7fRPjeYgyHydoHmwDrKkGJDaWJ69qTun5	ring3	node7	576
4606	QmbnRpxt4aqDWCXkaVtQwZhrmrGBuXRyRCJBNtSy3P3qMf	ring2	node38	527
4607	QmZ7S2kMrpMpaAmC1wTx8kKQdvQwjqjwnN4kyQD2BRYCRt	ring3	node39	540
4608	QmZ47L6sP7QhgCDgnpG23TP6a9HkUtDkLN2TthDFyVwJoX	ring1	node9	562
4609	QmZ47L6sP7QhgCDgnpG23TP6a9HkUtDkLN2TthDFyVwJoX	ring1	node9	534
4610	QmRvHiKCjm4VQxTTYbsKUY5FtGMZ9pGW24uiAjqMBM8ZH4	ring2	node10	545
4611	QmSoLuCB7xeFD5vf8pYnzoBhRFfnnM41nPy4zBnSqmjH7J	ring3	node31	488
4612	QmZB8awpNvtuSP6JgVNam5KNEFfrx3d2YFvHTvddggUEBx	ring2	node34	544
4613	QmUytSceJqGJJaPxGWMAPmM3wZGTJZqjzf2TEaKA1CdNtN	ring3	node19	539
4614	QmPihy1ihauADrpD4Ye8tRzFQkaqEiJ5qCe7BpKEMMb5J6	ring0	node36	614
4615	QmeKXkB4yH6etxBMPRz14CRT21nPZ8Tru5TyUchFeFZkHU	ring2	node30	585
4616	QmeKLzUApSGCaBd4RcudRm8PwKRHukk2CfnkK5ekqS2BuR	ring1	node13	545
4617	QmZXyKSJ4xQzmJTubKdcfJWhAtSZzCFGFpAzm3WhBhSZ7i	ring3	node39	507
4618	QmQFuNPHWeYL2D66wtwNXEJ8hpcdsJiQi8SF2ef6DQiGCo	ring2	node26	612
4619	QmTwV4rA2o3ZPtR12geBCh1Y6iHow1r2skgzG79oV7Fd91	ring1	node29	537
4620	QmZB8awpNvtuSP6JgVNam5KNEFfrx3d2YFvHTvddggUEBx	ring2	node34	519
4621	Qmdx2pMsH5hDSeALZJaE3YV2qLb5uBgu4TtVY2sqXMsMhU	ring1	node13	595
4622	QmTjKaJoB9ZzYhsVQ2j1KiogJPUaAMLBG55bKmDBoKs2Zt	ring0	node0	557
4623	QmYUXeeQSUtoa171nbrqXwHpko5sFhE8RuFjjAygvefADb	ring0	node36	1455
4624	QmecRGd4u5DdhYJEg9CwRJjq4xWGDy3CkMWVCgg55cG9FR	ring2	node10	559
4625	QmdonupABBe5xP93d6ZEc2EmyirEPu7Psrm3f5Wf5i6yf2	ring2	node14	717
4626	Qma3NvdQGkzu7wnMYbPy64oZEzWtbvfGgDCc9C6kcFCCpX	ring1	node1	558
4627	QmSoLuCB7xeFD5vf8pYnzoBhRFfnnM41nPy4zBnSqmjH7J	ring3	node31	501
4628	QmRECqRurhc4oh1h9rYSD5hMKkAF34kwV3kzAg6RL6SXJ7	ring2	node10	695
4629	Qmd3SSRQEjFquk79sGTecfjxFHmxx3YAJBb7pLuC7fbeXQ	ring3	node15	533
4630	Qmejswp5Q8pidS8VnEttqnSh4w61KiYBwL3UBTh4BkgARs	ring1	node29	505
4631	QmbNDzVrWPNyQ3Pgt16rVn57G1s9ta8XgARExkvykE8Q1s	ring1	node33	550
4632	QmUPdy2A4ksMSrS55uvRPFeRbyMU523azRVsaGhmvjx89m	ring0	node24	524
4633	QmbnRpxt4aqDWCXkaVtQwZhrmrGBuXRyRCJBNtSy3P3qMf	ring2	node38	523
4634	Qmd8MN358sa3vJGFfeNvNLuYjRT9MARvqH6TeV9Dt4iX45	ring2	node14	563
4635	QmcTLEPoA2NT6j7ny7pi1MGNnjFxK6icB1qsPX49xDXzjC	ring1	node25	488
4636	QmYsTqbmGA3H5cgouCkh8tswJAQE1AsEko9uBZX9jZ3oTC	ring0	node36	614
4637	QmXKXQnUXbtdiCTp9qrHpgTdPxQBnDiF2vN3kNnvz4z5AZ	ring2	node2	521
4638	QmT8YEYmc6ZUt1S1YhDAWq651M4VzoHdozi57RvzCrywP2	ring3	node19	852
4639	QmZtVz9r4GNsa7Q2kFX1V2iqtYZSZNWJd2YDHLuKXBsW8r	ring1	node9	483
4640	QmVKZYfcfbtjszUtpE3qEHgXh8DRi8bdyjambXt69n7Cvw	ring0	node36	624
4641	QmcgfGZNEuaFjubkicLkcVtUteis1adSfdjP2M16fJpFfg	ring2	node14	620
4642	QmZXyKSJ4xQzmJTubKdcfJWhAtSZzCFGFpAzm3WhBhSZ7i	ring3	node39	574
4643	QmVtN9HD81dbe2ywt9Z87kdLHVsEEJZu98mNRhagWUZq3r	ring2	node6	575
4644	QmdRAvWJa2Ck3pQPVni1DhYHc1zZNvJnZWAacS3vfWuDYA	ring1	node13	618
4645	Qmc26TcchJ9VLdfzqU9u7tYrUdp8btAapnRWqMfj8c6oMo	ring1	node1	565
4646	QmWCUAe5zGyNCy2RK4mdZwr6HhcYqRj5FK9puwRsLKmPDp	ring2	node30	539
4647	QmVnF27b6iwVzxwBhNXqPqVbgKSyQi92ZN219E81CvqYNL	ring1	node13	595
4648	QmSoLuCB7xeFD5vf8pYnzoBhRFfnnM41nPy4zBnSqmjH7J	ring3	node31	521
4649	QmUVcqBYntKcD3hnkG5xyHjAfTNtRCoboiQJWoFjxGF6NR	ring1	node5	518
4650	QmcNgSgvqMtKkXkduVMh5bCfituY69fVcU47tEF8cv7aGc	ring3	node15	600
4651	QmbmmT7tbXvjxwSWE5Ni3DatSUVEG935yDWRo8ho6n1uPi	ring0	node20	587
4652	QmSRHZZHAja9VC6k2ttfTMn9tGaAaAE1hmSuSvt1hETuvD	ring3	node31	608
4653	QmZ3orZ4hBnt9x14x5uzC4oihCWcSS9d6Tg2J74kQQhzvW	ring0	node0	545
4654	QmT6Q3LspDDuwGLoedAmTB96mzNHuhrryPPnj8xzq9AgRt	ring3	node7	719
4655	QmcGeWb5K6YiiyP52rhYVspwtq6yZ6wxopZQWjh89zVbEd	ring1	node5	511
4656	QmcTLEPoA2NT6j7ny7pi1MGNnjFxK6icB1qsPX49xDXzjC	ring1	node25	1575
4657	QmZbSnMdQ2tB9kJpwJxHfiF52CEMJE9TrFgyNfqKUqhPzG	ring3	node11	586
4658	QmecRGd4u5DdhYJEg9CwRJjq4xWGDy3CkMWVCgg55cG9FR	ring2	node10	573
4659	QmXKXQnUXbtdiCTp9qrHpgTdPxQBnDiF2vN3kNnvz4z5AZ	ring2	node2	574
4660	QmVGBb9S18SdihpSiEUocEztuVeCiY25hNhAJxCTQSfrL3	ring3	node15	611
4661	QmZDh13Hb3YPeomXYi7mqEeghgysoL7bpdoeXmME7Jg7ea	ring1	node17	716
4662	QmNx6WDBX2UxEd33FgZxuGTqzBVdYumT3yJ3oKK2J9nfG9	ring0	node8	653
4663	QmeKLzUApSGCaBd4RcudRm8PwKRHukk2CfnkK5ekqS2BuR	ring1	node13	480
4664	QmSoLuCB7xeFD5vf8pYnzoBhRFfnnM41nPy4zBnSqmjH7J	ring3	node31	548
4665	QmZB8awpNvtuSP6JgVNam5KNEFfrx3d2YFvHTvddggUEBx	ring2	node34	580
4666	QmZB8awpNvtuSP6JgVNam5KNEFfrx3d2YFvHTvddggUEBx	ring2	node34	621
4667	QmYD9AtzyQPjSa9jfZcZq88gSaRssdhGmKqQifUDjGFfXm	ring2	node14	524
4668	QmeWsEvJHc1XJVmqVxzSaHeABHXYM4dSKANPmqZh7W1Nnd	ring3	node7	650
4669	Qmejswp5Q8pidS8VnEttqnSh4w61KiYBwL3UBTh4BkgARs	ring1	node29	552
4670	QmQaK3zxBvm1X9o7grWYJLzRgT57jeKEKk6yNb35D36YLL	ring0	node20	562
4671	QmVGBb9S18SdihpSiEUocEztuVeCiY25hNhAJxCTQSfrL3	ring3	node15	524
4672	QmbnRpxt4aqDWCXkaVtQwZhrmrGBuXRyRCJBNtSy3P3qMf	ring2	node38	565
4673	QmVMddPpDpyZDXDHTX3pMNQuHKNaENdS4eniM5TjnzhbVW	ring2	node38	565
4674	QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq	ring1	node1	575
4675	QmVJ6LMugHBULxgx4JsPnXDosPgWd9KiBJ3ff8LntkXA6k	ring2	node22	530
4676	QmbmPDc1PNmxKfpixsk2oF8DAV6Yqs5QwhtwUWJtw8jSDF	ring2	node38	600
4677	Qmei1f1fyesJVZRKFNdBxPJZRsQVZsz4Gwi5qUptgRn5sd	ring2	node22	573
4678	QmVDHXGJeqv7pQcRLfnnNN96eeaEKMtMk6NahR85mX3HzC	ring3	node19	595
4679	QmUs5aRDY3mQwT7p2eawqWwLiiNVgXXAL2TgW7TPpnVLPk	ring0	node12	553
4680	QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq	ring1	node1	511
4681	QmeSqXttu4DU4YPf5MpieUMttuLDKS861JNw8cxd8b8rLy	ring3	node27	611
4682	Qmek7LF6NWTVLmhu2g8tDtE5XHAjtmycUMsy6U5XFb4jft	ring1	node29	534
4683	QmdsRprSYWvP7biuuDe8DfWmnQXJv43QJ21oQhDGb3GfTM	ring1	node13	617
4684	QmZXyKSJ4xQzmJTubKdcfJWhAtSZzCFGFpAzm3WhBhSZ7i	ring3	node39	533
4685	QmXYFMtYVBJBKjgGwf6MmrKhVtNdbVjLQCPLCu99hpAu47	ring3	node35	641
4686	QmT5ZnzWR2Y9bwtWypVQgFoYMSyi8CDt2Mh3eFeDu4cFc1	ring1	node9	692
4687	QmP3PT3WPxSv2jiTuS7y7pU5iB4nYPR5EmE7w4vAsT2h5G	ring0	node4	601
4688	QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq	ring1	node1	504
4689	QmUJ9TSyfU76nyaw89CECt6BexzHy7Z6yMoVQEVcuzmVfE	ring2	node30	533
4690	QmPMc4tcBsMqLRuCQtPmPe84bpSjrC3Ky7t3JWuHXYB4aS	ring3	node19	606
4691	QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq	ring1	node1	505
4692	QmXKXQnUXbtdiCTp9qrHpgTdPxQBnDiF2vN3kNnvz4z5AZ	ring2	node2	523
4693	QmcfHSXhopPa5gHMhrxkDmmsn5YNays7pUN6BpgySmEBGJ	ring3	node15	576
4694	QmeinMgudQ4TjF96kRrKMpZCE5B6SSdrEqCCo3L3vmRGGa	ring2	node34	529
4695	QmZ47L6sP7QhgCDgnpG23TP6a9HkUtDkLN2TthDFyVwJoX	ring1	node9	560
4696	QmfJaHDZRZmPnUCsqJrCVede1eeTWoq8smdRZAErzKH3Q7	ring2	node26	518
4697	QmdckDi8REQoGUng55UbS9zxtRPXN9Qy5AyCb4aTPbq6m6	ring0	node32	534
4698	QmZ47L6sP7QhgCDgnpG23TP6a9HkUtDkLN2TthDFyVwJoX	ring1	node9	496
4699	QmT5ZnzWR2Y9bwtWypVQgFoYMSyi8CDt2Mh3eFeDu4cFc1	ring1	node9	447
4700	QmeKLzUApSGCaBd4RcudRm8PwKRHukk2CfnkK5ekqS2BuR	ring1	node13	514
4701	QmZB8awpNvtuSP6JgVNam5KNEFfrx3d2YFvHTvddggUEBx	ring2	node34	525
4702	QmcTLEPoA2NT6j7ny7pi1MGNnjFxK6icB1qsPX49xDXzjC	ring1	node25	505
4703	Qmcw5GGqxwQ641L5WyMM7Htn7CscY1VzUb2LQahqjjx9J7	ring2	node30	544
4704	QmZ47L6sP7QhgCDgnpG23TP6a9HkUtDkLN2TthDFyVwJoX	ring1	node9	524
4705	Qmek7LF6NWTVLmhu2g8tDtE5XHAjtmycUMsy6U5XFb4jft	ring1	node29	488
4706	QmcU9xYccCtyMYSpEZS1X5vAtFxhKrFWsp7wyWtNJXhWLV	ring0	node24	514
4707	QmXYFMtYVBJBKjgGwf6MmrKhVtNdbVjLQCPLCu99hpAu47	ring3	node35	550
4708	QmREEHpR8qCnbzjxQAWYCuR98ES28NbWeW2STVZf17wkHH	ring0	node8	1633
4709	QmTMqopFAH28tFMmQ52W7Um3GSeMqxWDoLx3vAiezb1jKC	ring0	node12	577
4710	QmZFnUm3bjSyEPrvxEa3fR9eUxnkfQeLmPTzDhAmCWtbMZ	ring3	node3	695
4711	QmXYPTaeB22QeMB3C4ehvTVcmwrt11DuvbrbLDNjbG39Tz	ring2	node10	502
4712	QmUPdy2A4ksMSrS55uvRPFeRbyMU523azRVsaGhmvjx89m	ring0	node24	534
4713	QmWKmFAz7ZLGbuN1LBc5ubjx6Q71qhUpkNRrwt8qTmBqL6	ring2	node10	562
4714	Qmcyfif4d4HGP84HEdGxPTJmXXcG5NSmCx8BcSWNPemUvS	ring1	node25	582
4715	QmRECqRurhc4oh1h9rYSD5hMKkAF34kwV3kzAg6RL6SXJ7	ring2	node10	1365
4716	Qmei1f1fyesJVZRKFNdBxPJZRsQVZsz4Gwi5qUptgRn5sd	ring2	node22	680
4717	QmbnRpxt4aqDWCXkaVtQwZhrmrGBuXRyRCJBNtSy3P3qMf	ring2	node38	605
4718	QmeinMgudQ4TjF96kRrKMpZCE5B6SSdrEqCCo3L3vmRGGa	ring2	node34	480
4719	Qmejswp5Q8pidS8VnEttqnSh4w61KiYBwL3UBTh4BkgARs	ring1	node29	602
4720	QmecRGd4u5DdhYJEg9CwRJjq4xWGDy3CkMWVCgg55cG9FR	ring2	node10	511
4721	QmVjnHtfw3jnYJnFPjGk9b5FBcaPA6HHcHEpRdHE3Ks1P6	ring2	node14	641
4722	QmcaemqsgJCrHJCV3T1N2VtTAU6nXQ7LxdzMbm1r1ZvK2U	ring2	node14	535
4723	QmbmPDc1PNmxKfpixsk2oF8DAV6Yqs5QwhtwUWJtw8jSDF	ring2	node38	623
4724	Qmd9bZMfw2JgdAJCtF3WjG5KSdZuiVsRSYnm7JKV1ZGXjH	ring1	node33	604
4725	QmcTLEPoA2NT6j7ny7pi1MGNnjFxK6icB1qsPX49xDXzjC	ring1	node25	493
4726	Qmd76EUPKoLyxhMAAqSVBtzDvuhzKB4BC3DMLNtqjJYGBa	ring0	node24	650
4727	QmVtN9HD81dbe2ywt9Z87kdLHVsEEJZu98mNRhagWUZq3r	ring2	node6	543
4728	QmXYFMtYVBJBKjgGwf6MmrKhVtNdbVjLQCPLCu99hpAu47	ring3	node35	532
4729	QmcU9xYccCtyMYSpEZS1X5vAtFxhKrFWsp7wyWtNJXhWLV	ring0	node24	687
4730	QmQZHd1RB2kJgtz6AjEUxbpL11Ub58ueKVmpJg8kpMpxkB	ring0	node4	568
4731	QmRRgZtuuqR79uvWfUJk17tcLrwwRa1K59fhm9AhfALjur	ring2	node14	619
4732	QmT6Q3LspDDuwGLoedAmTB96mzNHuhrryPPnj8xzq9AgRt	ring3	node7	575
4733	QmZtpYLsqzXg6ggBRc2tBLfh8G1RyngRcPTHdx5zt6DQ4V	ring2	node26	553
4734	QmebjNSriB3M8WEX8vRhjDu5WVHhdDReedLuxJPNYQeUD5	ring3	node35	639
4735	QmddaQS5pWU6yS8Cr5LFB6we9UUVpNEm4cg4B359F1XY3A	ring0	node32	545
4736	QmZ4tJjpHcoU7xf48UyWYcXF5XDdo4gzmaR8FEfGzsY7v5	ring2	node34	563
4737	QmbUnndczGrHFoGcnaTgcNxyrst2JsRfG9FSw2ZPE1LDz2	ring0	node4	480
4738	QmbnRpxt4aqDWCXkaVtQwZhrmrGBuXRyRCJBNtSy3P3qMf	ring2	node38	513
4739	QmZ47L6sP7QhgCDgnpG23TP6a9HkUtDkLN2TthDFyVwJoX	ring1	node9	667
4740	QmQZHd1RB2kJgtz6AjEUxbpL11Ub58ueKVmpJg8kpMpxkB	ring0	node4	515
4741	QmbFcU4d4xVKnrtaCR9fpUynyi7QEhiaVEX4iXBZnNLAvg	ring0	node4	539
4742	QmRmAmZ4C3Rw113J886wdDz9eUWYiUYBtAHSazLFi9jRyd	ring1	node33	549
4743	Qmdd6qFdisnCvu85BbqZW6YDYod5W7KqmQoUYm8yoipWc1	ring3	node35	547
4744	QmNfTngEDnETzXBFJrgsTXo5VnZSTJ17jfk7Bdnb5P3CUz	ring3	node27	609
4745	QmVNkq8BzpKABMuCw32gHQ73B2wLk9m9GaGznF4swKNH9b	ring2	node22	515
4746	QmRRgZtuuqR79uvWfUJk17tcLrwwRa1K59fhm9AhfALjur	ring2	node14	516
4747	QmZ4e7ZiV3ejf7EbCA9j2agV2oS8D32R6SwfFJaHMcLm1W	ring2	node18	532
4748	QmdnR4nuvSMdGcQxbJiptMREAxKWtQRcNHSBxXYBf1fYXj	ring0	node16	587
4749	Qmbarswhn3pkusagjhS5s4qm7mtjugmAuNUYnEVhLvFQ9U	ring2	node30	502
4750	Qmejswp5Q8pidS8VnEttqnSh4w61KiYBwL3UBTh4BkgARs	ring1	node29	699
4751	QmRRgZtuuqR79uvWfUJk17tcLrwwRa1K59fhm9AhfALjur	ring2	node14	490
4752	QmeinMgudQ4TjF96kRrKMpZCE5B6SSdrEqCCo3L3vmRGGa	ring2	node34	491
4753	QmcQVmDsp5VeyXB1w98thHBjDzeZYViRCoJdSAcqtHryyj	ring0	node36	523
4754	QmTjKaJoB9ZzYhsVQ2j1KiogJPUaAMLBG55bKmDBoKs2Zt	ring0	node0	602
4755	QmUPdy2A4ksMSrS55uvRPFeRbyMU523azRVsaGhmvjx89m	ring0	node24	516
4756	QmcU9xYccCtyMYSpEZS1X5vAtFxhKrFWsp7wyWtNJXhWLV	ring0	node24	499
4757	QmXYPTaeB22QeMB3C4ehvTVcmwrt11DuvbrbLDNjbG39Tz	ring2	node10	513
4758	QmcaemqsgJCrHJCV3T1N2VtTAU6nXQ7LxdzMbm1r1ZvK2U	ring2	node14	494
4759	QmeinMgudQ4TjF96kRrKMpZCE5B6SSdrEqCCo3L3vmRGGa	ring2	node34	523
4760	QmcaemqsgJCrHJCV3T1N2VtTAU6nXQ7LxdzMbm1r1ZvK2U	ring2	node14	482
4761	QmcaemqsgJCrHJCV3T1N2VtTAU6nXQ7LxdzMbm1r1ZvK2U	ring2	node14	495
4762	QmbEYVjSsWcJjdTWGozdJWNb8sJyQAmM3Sx9Q3GcXhsfSe	ring2	node22	542
4763	QmcTLEPoA2NT6j7ny7pi1MGNnjFxK6icB1qsPX49xDXzjC	ring1	node25	500
4764	QmXKXQnUXbtdiCTp9qrHpgTdPxQBnDiF2vN3kNnvz4z5AZ	ring2	node2	530
4765	QmYbeFzL89hh6U9oYFd8gimSkencMJGDZn1m43sB9cPqVq	ring3	node15	568
4766	QmcaemqsgJCrHJCV3T1N2VtTAU6nXQ7LxdzMbm1r1ZvK2U	ring2	node14	477
4767	QmSEosra1k99PvfNViBb551jTmFBLqoLm2dTmLmthw5mBr	ring3	node39	546
4768	QmUVcqBYntKcD3hnkG5xyHjAfTNtRCoboiQJWoFjxGF6NR	ring1	node5	552
4769	QmTLHDaa8N6zvBCXQ6sbQy3DWfCrMW9K3QjmP1N3hN4EuD	ring0	node32	558
4770	QmcaemqsgJCrHJCV3T1N2VtTAU6nXQ7LxdzMbm1r1ZvK2U	ring2	node14	513
4771	QmcaemqsgJCrHJCV3T1N2VtTAU6nXQ7LxdzMbm1r1ZvK2U	ring2	node14	571
4772	QmPRP8ouf3LmgaecbNwv3XeD4PBPoLtuyvSffxk33ZCADF	ring0	node28	598
4773	QmcaemqsgJCrHJCV3T1N2VtTAU6nXQ7LxdzMbm1r1ZvK2U	ring2	node14	522
4774	QmcQVmDsp5VeyXB1w98thHBjDzeZYViRCoJdSAcqtHryyj	ring0	node36	531
4775	QmcaemqsgJCrHJCV3T1N2VtTAU6nXQ7LxdzMbm1r1ZvK2U	ring2	node14	1064
4776	QmcaemqsgJCrHJCV3T1N2VtTAU6nXQ7LxdzMbm1r1ZvK2U	ring2	node14	530
4777	QmcaemqsgJCrHJCV3T1N2VtTAU6nXQ7LxdzMbm1r1ZvK2U	ring2	node14	523
4778	QmeinMgudQ4TjF96kRrKMpZCE5B6SSdrEqCCo3L3vmRGGa	ring2	node34	511
4779	QmdTNo9QWztpJ7DM14KwLe4DaUdjhxntviU9eucH7ewFjd	ring2	node26	529
4780	QmP42D9rdWGYNunFGXY7a8xhYt4jVomSf4nbFQxKNecQUz	ring2	node26	524
4781	QmcaemqsgJCrHJCV3T1N2VtTAU6nXQ7LxdzMbm1r1ZvK2U	ring2	node14	499
4782	QmaUZHUPbKJceWwxgpqzfYvkA6YDManQN9CbrjV1hzspzT	ring0	node20	610
4783	QmeKLzUApSGCaBd4RcudRm8PwKRHukk2CfnkK5ekqS2BuR	ring1	node13	636
4784	QmaDk8YNtPM2wZVjW9z418V3ECwMGPKmvv9beFMvcZ2jjv	ring2	node26	568
4785	QmcaemqsgJCrHJCV3T1N2VtTAU6nXQ7LxdzMbm1r1ZvK2U	ring2	node14	514
4786	QmPGw1rj7szWPrfppVygYiizgFTDTbn4rqAtkrTJnz2Uxp	ring3	node11	579
4787	QmcTLEPoA2NT6j7ny7pi1MGNnjFxK6icB1qsPX49xDXzjC	ring1	node25	625
4788	QmaY4ZqHLPsEpRXUNnvoubstq4sKBzuEFNdj86qKinoUmU	ring3	node15	747
4789	QmQRMT5aELpZAxqGkogRxhaye452ajK95oJ8gaB5WsQPzy	ring1	node17	562
4790	QmecRGd4u5DdhYJEg9CwRJjq4xWGDy3CkMWVCgg55cG9FR	ring2	node10	597
4791	QmYbeFzL89hh6U9oYFd8gimSkencMJGDZn1m43sB9cPqVq	ring3	node15	567
4792	QmPVbjSZTwFkvXMzEKZBLn33oy6cUaogMHC9QiCLvW5hfb	ring1	node37	684
4793	QmbHwaVdAXoQwZLMM4RPWMYeTDjRaKHByrVbvYsedGaDZX	ring1	node17	1510
4794	QmXiHxZK9vQDLehVLUsoNirXmUox6DUVPsfmGv4ZfP9Pfp	ring0	node12	873
4795	QmdaaNwxQSsucVBEXq2xoVTXxM9Uno6xeXUvsq8EW37R1D	ring3	node35	611
4796	QmZXyKSJ4xQzmJTubKdcfJWhAtSZzCFGFpAzm3WhBhSZ7i	ring3	node39	573
4797	QmVHPe89jTReBpdYUKFj82VkPaRRZaiopxN1McKjV5EaiS	ring2	node18	560
4798	QmZ47L6sP7QhgCDgnpG23TP6a9HkUtDkLN2TthDFyVwJoX	ring1	node9	548
