序号	文件名	环ID	节点	路由耗时(ns)
77	QmfFzMB7oZhmTZ8aXEj2anhBL6zk4KnuV2LqwV7vZQWwF4	ring3	node19	664
78	QmfFzMB7oZhmTZ8aXEj2anhBL6zk4KnuV2LqwV7vZQWwF4	ring3	node19	555
79	QmfGvH3HQBgMoAQkhr8expSzR3AwcLLBebbDMvwpVNyyoJ	ring2	node18	622
80	QmeKLzUApSGCaBd4RcudRm8PwKRHukk2CfnkK5ekqS2BuR	ring1	node13	490
81	QmcZZFjThMzRKqV8Tp3W3pwKcJBsUzPJtePhfs5rmZZYZ7	ring2	node10	625
82	QmSEosra1k99PvfNViBb551jTmFBLqoLm2dTmLmthw5mBr	ring3	node39	602
83	QmTfRPuCgmqvNHdiAR187CnTBF7NGEWmDgbWnVdVWEXhKG	ring1	node29	616
84	QmQfG7NBwWVDVbzfcWtReLRXiDALJCwCLxM8XyrDL8jXQc	ring0	node12	553
85	QmcZZFjThMzRKqV8Tp3W3pwKcJBsUzPJtePhfs5rmZZYZ7	ring2	node10	521
86	QmfFzMB7oZhmTZ8aXEj2anhBL6zk4KnuV2LqwV7vZQWwF4	ring3	node19	546
87	QmbnRpxt4aqDWCXkaVtQwZhrmrGBuXRyRCJBNtSy3P3qMf	ring2	node38	582
88	QmfBi1VYx53ZJJ5yrsUg38SDPo9YUeUXAX9m5SggxLtoqz	ring0	node4	3269
89	QmP11Ne2z9sVgokdg5Zs8EpZKBosXAK2WwnQ1AP1nf11wB	ring1	node1	614
90	QmQfG7NBwWVDVbzfcWtReLRXiDALJCwCLxM8XyrDL8jXQc	ring0	node12	509
91	QmQfG7NBwWVDVbzfcWtReLRXiDALJCwCLxM8XyrDL8jXQc	ring0	node12	486
92	QmefXDXgGB8XUqPQeXuWwVycn3Yf6JCJcW11C6L8cguKSK	ring2	node34	493
93	Qmc1tzxocMkAFvfdr4jpUcvuhj4H8ee75sow1bRyFTpeR6	ring0	node20	554
94	QmU5MdhB8gBBsD248oExTBDq5QWWZ7aBZufNbqfmwVRFX2	ring1	node33	591
95	QmZFnUm3bjSyEPrvxEa3fR9eUxnkfQeLmPTzDhAmCWtbMZ	ring3	node3	642
96	QmXLBn7d5VzNV4uWaBa72QwxngabsD9JMgk6mHiWbbTB6B	ring3	node31	637
97	QmQFuNPHWeYL2D66wtwNXEJ8hpcdsJiQi8SF2ef6DQiGCo	ring2	node26	505
98	QmQZHd1RB2kJgtz6AjEUxbpL11Ub58ueKVmpJg8kpMpxkB	ring0	node4	519
99	Qme8V3HufkkPo5aWRDqXw8xz2XDS7cwbkib3dKmrbEPe1e	ring1	node29	552
100	QmddaQS5pWU6yS8Cr5LFB6we9UUVpNEm4cg4B359F1XY3A	ring0	node32	550
101	QmP1T9YjEDqCtYAWUtujPQjpcUZQiSXH9huC9V284Dfe1y	ring3	node31	598
102	QmVGBb9S18SdihpSiEUocEztuVeCiY25hNhAJxCTQSfrL3	ring3	node15	508
103	QmPbF9ShqywKQEFkJtTW1BRWjsZmrAPXLsvApg8VApMHg7	ring2	node14	705
104	QmZFnUm3bjSyEPrvxEa3fR9eUxnkfQeLmPTzDhAmCWtbMZ	ring3	node3	558
105	QmYvyxWStnzEEftb2mMjz1FYGtqypJ2pJ5R2oJsQTWSTEz	ring2	node2	561
106	QmbnRpxt4aqDWCXkaVtQwZhrmrGBuXRyRCJBNtSy3P3qMf	ring2	node38	490
107	QmZpA62faJEQjPe7Urquo34myHoa6dUc5GEwcZwdAmeNfN	ring3	node31	546
108	QmP11Ne2z9sVgokdg5Zs8EpZKBosXAK2WwnQ1AP1nf11wB	ring1	node1	481
109	QmT5ZnzWR2Y9bwtWypVQgFoYMSyi8CDt2Mh3eFeDu4cFc1	ring1	node9	560
110	QmefXDXgGB8XUqPQeXuWwVycn3Yf6JCJcW11C6L8cguKSK	ring2	node34	493
111	QmefXDXgGB8XUqPQeXuWwVycn3Yf6JCJcW11C6L8cguKSK	ring2	node34	499
112	QmTfRPuCgmqvNHdiAR187CnTBF7NGEWmDgbWnVdVWEXhKG	ring1	node29	539
113	QmcTLEPoA2NT6j7ny7pi1MGNnjFxK6icB1qsPX49xDXzjC	ring1	node25	548
114	QmeKLzUApSGCaBd4RcudRm8PwKRHukk2CfnkK5ekqS2BuR	ring1	node13	682
115	QmewCrTqsMECeYcX2etcuRAi2G37yNrL1QBsjxjAgZSwfy	ring3	node31	555
116	QmdaaNwxQSsucVBEXq2xoVTXxM9Uno6xeXUvsq8EW37R1D	ring3	node35	712
117	QmddaQS5pWU6yS8Cr5LFB6we9UUVpNEm4cg4B359F1XY3A	ring0	node32	497
118	QmePERuSk6kmLPBknRgSH9NitZLXqQSWQ3yLZzhuhqPTpy	ring1	node13	563
119	QmevD6pYWEqF6ezR7Go8aW75TAFbK9UzfR7mAb56xXeua5	ring0	node36	602
120	QmUUJX97jQ8hntmGG6CiB71Vi9DCgwGPogQrpF5tybTRqx	ring0	node20	504
121	QmPbF9ShqywKQEFkJtTW1BRWjsZmrAPXLsvApg8VApMHg7	ring2	node14	653
122	QmXoypizjW3WknFiJnKLwHCnL72vedxjQkDDP1mXWo6uco	ring2	node2	551
123	QmefXDXgGB8XUqPQeXuWwVycn3Yf6JCJcW11C6L8cguKSK	ring2	node34	1542
124	QmXiHxZK9vQDLehVLUsoNirXmUox6DUVPsfmGv4ZfP9Pfp	ring0	node12	610
125	QmWGaAgHh2TWdKittHeR5XNJjDTdUzfrUhGkdhkJ5TGN4b	ring1	node21	593
126	QmewCrTqsMECeYcX2etcuRAi2G37yNrL1QBsjxjAgZSwfy	ring3	node31	656
127	QmSEosra1k99PvfNViBb551jTmFBLqoLm2dTmLmthw5mBr	ring3	node39	636
128	QmWGaAgHh2TWdKittHeR5XNJjDTdUzfrUhGkdhkJ5TGN4b	ring1	node21	455
129	QmewCrTqsMECeYcX2etcuRAi2G37yNrL1QBsjxjAgZSwfy	ring3	node31	632
130	QmewCrTqsMECeYcX2etcuRAi2G37yNrL1QBsjxjAgZSwfy	ring3	node31	630
131	QmewCrTqsMECeYcX2etcuRAi2G37yNrL1QBsjxjAgZSwfy	ring3	node31	1212
132	Qmd4HZ48MN6waoHFeFVKsGfDyBm7vFuYXkijdw1EyfCvBm	ring3	node31	887
133	QmTfRPuCgmqvNHdiAR187CnTBF7NGEWmDgbWnVdVWEXhKG	ring1	node29	647
134	QmaMvBotVK3VcvBsW1Lb9Bc4uS7c2f7QqkRJuGihwTsqfE	ring3	node15	670
135	QmRZXxy4orqcyJ8HsJ7Xvar8vpqrMJiA7J2njrq5oqBAY8	ring2	node34	732
136	QmTx1dYy3tDinVpYX63az4HfJmLab9XE5bRN2Kczv66bTx	ring3	node35	595
137	QmYvyxWStnzEEftb2mMjz1FYGtqypJ2pJ5R2oJsQTWSTEz	ring2	node2	577
138	QmeinMgudQ4TjF96kRrKMpZCE5B6SSdrEqCCo3L3vmRGGa	ring2	node34	531
139	QmewCrTqsMECeYcX2etcuRAi2G37yNrL1QBsjxjAgZSwfy	ring3	node31	515
140	QmQC4giVACguoQ5TJAM8QkrVPczttY3MKhM3cqvGbKAcVN	ring1	node33	701
141	QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq	ring1	node1	638
142	QmZTRowcbAprCDtysrUghTeSdM36XY3LKYgzzz4G3Tfkax	ring0	node36	576
143	QmVHVJKsUSt6YGW9JTfzrhAyRY2hQgNUo2r6JkK51di6kU	ring0	node0	540
144	QmbHwaVdAXoQwZLMM4RPWMYeTDjRaKHByrVbvYsedGaDZX	ring1	node17	520
145	QmbnRpxt4aqDWCXkaVtQwZhrmrGBuXRyRCJBNtSy3P3qMf	ring2	node38	540
146	QmRdrGtQoeZNmeF7y6D5nQoV8oVZeadGYFYHLDLj6fK983	ring3	node27	573
147	QmXYFMtYVBJBKjgGwf6MmrKhVtNdbVjLQCPLCu99hpAu47	ring3	node35	706
148	QmP11Ne2z9sVgokdg5Zs8EpZKBosXAK2WwnQ1AP1nf11wB	ring1	node1	588
149	QmWXuxmUmKuoi31KztTPpyi5LxPWFuqcG5XTZ77aVKawnq	ring1	node9	577
150	QmVjnHtfw3jnYJnFPjGk9b5FBcaPA6HHcHEpRdHE3Ks1P6	ring2	node14	617
151	QmXLsAdrPfND3rU3c3eDQH5APgn15to4d7Sti1x3WwGqTV	ring2	node26	514
152	QmUVcqBYntKcD3hnkG5xyHjAfTNtRCoboiQJWoFjxGF6NR	ring1	node5	548
153	QmddaQS5pWU6yS8Cr5LFB6we9UUVpNEm4cg4B359F1XY3A	ring0	node32	531
154	QmW4NFHK3eDUd3rHVcSLJasV6BRQCkdzrf4dmwYtWo87XS	ring1	node9	609
155	Qme1cRJpSdWap84HqKxpWKaJrGX7K8Dyf172anEYj8p5bN	ring2	node14	572
156	Qmc9UXLShQFQeS4AphuV85bGuhiF8zHvMaUdhRXEr29U7F	ring3	node35	598
157	QmdnR4nuvSMdGcQxbJiptMREAxKWtQRcNHSBxXYBf1fYXj	ring0	node16	630
158	QmYsTqbmGA3H5cgouCkh8tswJAQE1AsEko9uBZX9jZ3oTC	ring0	node36	500
159	QmTfRPuCgmqvNHdiAR187CnTBF7NGEWmDgbWnVdVWEXhKG	ring1	node29	3323
160	QmeTUyi9aN7iwdodY4mi4yKHEKYWbd3bG1FdagQhhKa2he	ring0	node4	593
161	QmQFuNPHWeYL2D66wtwNXEJ8hpcdsJiQi8SF2ef6DQiGCo	ring2	node26	585
162	QmYUHFzEvPsoseNWcHtqE18Ao8HPBRktLPoDMKpdDYvHQV	ring3	node11	785
163	QmeKLzUApSGCaBd4RcudRm8PwKRHukk2CfnkK5ekqS2BuR	ring1	node13	549
164	QmefXDXgGB8XUqPQeXuWwVycn3Yf6JCJcW11C6L8cguKSK	ring2	node34	490
165	QmP1T9YjEDqCtYAWUtujPQjpcUZQiSXH9huC9V284Dfe1y	ring3	node31	605
166	QmZFnUm3bjSyEPrvxEa3fR9eUxnkfQeLmPTzDhAmCWtbMZ	ring3	node3	584
167	QmcZZFjThMzRKqV8Tp3W3pwKcJBsUzPJtePhfs5rmZZYZ7	ring2	node10	622
168	QmQ9eMvRPwv9U5PArQVWj6BhQGm3uLXG9oGVpd7wMRKwEW	ring1	node33	527
169	Qmei1f1fyesJVZRKFNdBxPJZRsQVZsz4Gwi5qUptgRn5sd	ring2	node22	540
170	QmeKLzUApSGCaBd4RcudRm8PwKRHukk2CfnkK5ekqS2BuR	ring1	node13	522
171	QmbnRpxt4aqDWCXkaVtQwZhrmrGBuXRyRCJBNtSy3P3qMf	ring2	node38	522
172	QmTfRPuCgmqvNHdiAR187CnTBF7NGEWmDgbWnVdVWEXhKG	ring1	node29	498
173	QmVmiXAVhUfrk66gqNfnXfo5xdC5bQDLwy3rfKwXabibZw	ring0	node28	534
174	QmcC4BP3rVd9HefXuzj64rhnd68qvFYowALiZeDryJdmvb	ring2	node6	569
175	QmeinMgudQ4TjF96kRrKMpZCE5B6SSdrEqCCo3L3vmRGGa	ring2	node34	494
176	QmRECqRurhc4oh1h9rYSD5hMKkAF34kwV3kzAg6RL6SXJ7	ring2	node10	554
177	QmVmiXAVhUfrk66gqNfnXfo5xdC5bQDLwy3rfKwXabibZw	ring0	node28	7422
178	QmefXDXgGB8XUqPQeXuWwVycn3Yf6JCJcW11C6L8cguKSK	ring2	node34	560
179	QmXoypizjW3WknFiJnKLwHCnL72vedxjQkDDP1mXWo6uco	ring2	node2	556
